date,symbol,close,volume,liquidity_vnd,industry
2026-05-14,VSN,14000.0,1600,22400000,Thực phẩm & Nông nghiệp
2026-05-14,CC1,35000.0,100,3500000,Xây dựng & Đầu tư công
2026-05-14,SRC,52000.0,1000,52000000,Hóa chất & Nhựa
2026-05-14,SFG,11000.0,3300,36300000,Hóa chất & Nhựa
2026-05-14,TMS,40200.0,100,4020000,Vận tải & Logistics
2026-05-14,STG,33200.0,300,9960000,Vận tải & Logistics
2026-05-14,VGG,41400.0,200,8280000,Dệt may
2026-05-15,SZL,53800.0,8400,451920000,Bất động sản & KCN
2026-05-15,NVT,7590.0,13800,104742000,Bất động sản & KCN
2026-05-15,VSN,14000.0,400,5600000,Thực phẩm & Nông nghiệp
2026-05-15,DNW,31000.0,200,6200000,Năng lượng & Tiện ích
2026-05-15,CC1,35100.0,800,28080000,Xây dựng & Đầu tư công
2026-05-15,SRC,53000.0,100,5300000,Hóa chất & Nhựa
2026-05-15,SFG,10700.0,6000,64200000,Hóa chất & Nhựa
2026-05-15,STG,33200.0,300,9960000,Vận tải & Logistics
2026-05-15,VGG,41000.0,15100,619100000,Dệt may
2026-05-18,SZL,53400.0,3800,202920000,Bất động sản & KCN
2026-05-18,NVT,7090.0,1200,8508000,Bất động sản & KCN
2026-05-18,DNW,32000.0,500,16000000,Năng lượng & Tiện ích
2026-05-18,CC1,35000.0,900,31500000,Xây dựng & Đầu tư công
2026-05-18,SRC,53000.0,2100,111300000,Hóa chất & Nhựa
2026-05-18,SFG,10600.0,3100,32860000,Hóa chất & Nhựa
2026-05-18,TMS,38800.0,400,15520000,Vận tải & Logistics
2026-05-18,STG,33200.0,300,9960000,Vận tải & Logistics
2026-05-18,VGG,41900.0,200,8380000,Dệt may
2026-01-23,SZL,49500.0,7100,351450000,Bất động sản & KCN
2026-01-23,NVT,7490.0,12000,89880000,Bất động sản & KCN
2026-01-23,PGS,50000.0,100,5000000,Năng lượng & Tiện ích
2026-01-23,SRC,47600.0,900,42840000,Hóa chất & Nhựa
2026-01-23,SFG,10350.0,1700,17595000,Hóa chất & Nhựa
2026-01-23,TMS,41200.0,5400,222480000,Vận tải & Logistics
2026-01-23,STG,38000.0,200,7600000,Vận tải & Logistics
